ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.0 out of 5 stars,ElanaFreeland,"Chemtrails, HAARP, and the Full Spectrum Dominance of Planet Earth ",Rs.601.27,,$16.45,$21.95
,AnnAguirre,Havoc (The Dred Chronicles) ,$5.88,,$7.85,
4.4 out of 5 stars,A.G.Riddle,"The Atlantis Plague: A Thriller (The Origin Mystery, Book 2) ",Rs.290.00,2384,,$15.99
4.5 out of 5 stars,DanHarris,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works--A True Story ",Rs.438.50,735,$14.99,$25.99
4.1 out of 5 stars,,By Other Means (On Silver Wings Book 5) ,Rs.301.00,84,,
4.9 out of 5 stars,MelindaRoth,"Mestengo: A Wild Mustang, a Writer on the Run, and the Power of the Unexpected ",Rs.118.95,,$21.35,$26.95
4.4 out of 5 stars,AndreNorton,"Gryphon in Glory (Witch World Series (High Hallack Cycle) , 6) ",$1.61,28,,
4.0 out of 5 stars,ElanaFreeland,"Chemtrails, HAARP, and the Full Spectrum Dominance of Planet Earth ",Rs.601.27,,$16.45,$21.95
4.0 out of 5 stars,AlafairBurke,Never Tell: A Novel of Suspense (Ellie Hatcher) ,Rs.198.55,112,$10.87,$14.99
4.3 out of 5 stars,TuridRugaas,On Talking Terms With Dogs: Calming Signals ,Rs.426.18,306,$12.86,$12.95
4.4 out of 5 stars,,Dr. Pitcairn's New Complete Guide to Natural Health for Dogs and Cats ,Rs.656.90,,$21.99,$18.95
4.1 out of 5 stars,BenH.Winters,The Last Policeman: A Novel ,Rs.134.82,524,$14.95,$14.95
4.7 out of 5 stars,,Exodus: Empires at War: Book 6: The Day of Battle ,Rs.301.00,59,,
4.5 out of 5 stars,BobbyAdair,"Slow Burn: Infected, Book 2 ",Rs.62.00,337,,$8.95
4.3 out of 5 stars,JoeHaldeman,The Forever War ,Rs.271.68,1186,,$14.99
4.3 out of 5 stars,MarkoKloos,Terms of Enlistment (Frontlines) ,Rs.236.73,1253,,$14.95
4.4 out of 5 stars,RysaWalker,Time's Echo: A CHRONOS Files Novella (The CHRONOS Files) ,Rs.180.00,111,,
4.5 out of 5 stars,T.R.Harris,"A Galaxy To Conquer: (The Human Chronicles Saga Part 2, Book 3) ",Rs.293.00,53,,
3.7 out of 5 stars,,For The Moon Is Hollow And Aliens Rule The Sky ,Rs.183.00,15,,$10.99
4.5 out of 5 stars,SamSisavath,The Purge of Babylon: A Novel of Survival (#1) ,Rs.186.00,416,,$13.99
4.6 out of 5 stars,MarkWayneMcGinnis,Realms of Time (Scrapyard Ship Book 4) ,Rs.238.00,38,,$10.79
4.5 out of 5 stars,EricFlintCharlesE.Gannon,1636: Commander Cantrell in the West Indies (Ring of Fire) ,Rs.587.00,44,,$25.00
4.5 out of 5 stars,B.V.Larson,Steel World (Undying Mercenaries Series Book 1) ,Rs.243.00,751,,$11.99
4.1 out of 5 stars,J.ThornL.T.RyanStephenKnightGlynnJamesT.W.PiperbrookJoeMcKinneyCraigDiLouieBobbyAdair,This is the End: The Post-Apocalyptic Box Set (7 Book Collection) ,Rs.62.00,110,,
4.5 out of 5 stars,SusanEe,"World After (Penryn & the End of Days, Book 2) ",Rs.300.34,929,,$7.99
3.6 out of 5 stars,IanDouglas,Dark Matter: Star Carrier: Book Five ,Rs.318.25,41,$7.99,$7.99
4.6 out of 5 stars,TaylorAnderson,Deadly Shores: Destroyermen ,Rs.656.90,89,$26.76,$26.95
4.1 out of 5 stars,CatherineBeery,Defender of the Empire: Cadet #1 ,Rs.183.00,53,,
3.5 out of 5 stars,StephanieErickson,The Blackout ,Rs.172.00,207,,$9.99
4.2 out of 5 stars,ChadLeito,The Academy: Book 2 ,Rs.239.00,89,,
4.7 out of 5 stars,JasperT.Scott,Dark Space (Book 4): Revenge ,Rs.179.00,117,,$18.99
4.2 out of 5 stars,KurtVonnegut,Slaughterhouse-Five (Kurt Vonnegut Series Book 1) ,Rs.307.80,1483,$7.86,$7.99
4.5 out of 5 stars,G.S.Jennsen,Starshine: Aurora Rising Book One ,Rs.244.00,113,,$17.99
4.8 out of 5 stars,SamSisavath,The Gates of Byzantium (Purge of Babylon #2) ,Rs.244.00,231,,$13.99
4.0 out of 5 stars,HughHoweyT.W.PiperbrookColinF.BarnesTonyBertauskiJosephTurkotJasonGurleySaulTanpepperChrisWardDeirdreGould,A Taste of Tomorrow - The Dystopian Boxed Set (11 Book Collection) ,Rs.179.00,47,,
3.6 out of 5 stars,,The Trojan Horse ,Rs.177.00,88,,
4.0 out of 5 stars,WilliamGibson,Neuromancer ,Rs.235.00,775,$7.99,$7.99
4.7 out of 5 stars,CJLyons,FAREWELL TO DREAMS: A Novel of Fatal Insomnia ,Rs.350.00,57,,$12.99
3.9 out of 5 stars,ChrisKennedy,Janissaries (The Theogony Book 1) ,Rs.250.00,84,,$12.99
4.3 out of 5 stars,DouglasE.Richards,AMPED (The WIRED Sequel) ,Rs.399.00,467,,$13.65
4.4 out of 5 stars,,Starship Troopers ,Rs.295.46,1210,$9.92,$9.99
4.6 out of 5 stars,DietmarWehr,The Synchronicity War Part 3 ,Rs.216.00,158,,
3.8 out of 5 stars,ChadLeito,The Academy: Book 1 ,Rs.187.00,204,,
4.5 out of 5 stars,BlakeCrouch,"Wayward (The Wayward Pines Series, Book Two) ",Rs.296.06,690,,$14.95
4.1 out of 5 stars,IrvingBelateche,Einstein's Secret ,Rs.248.00,67,,$12.95
4.5 out of 5 stars,LaurenceDahners,Rescue (an Ell Donsaii story #11) ,Rs.244.00,71,,$9.75
4.5 out of 5 stars,,"Transgression: A Time-Travel Suspense Novel (City of God, Book 1) ",Rs.300.00,70,,
4.8 out of 5 stars,BobbyAdair,"Slow Burn: Dead Fire, Book 4 ",Rs.122.00,284,,$8.95
4.1 out of 5 stars,ShaunMyandee,Ametsapolis Rising ,Rs.244.00,85,,$12.99
4.0 out of 5 stars,T.W.Piperbrook,Contamination Boxed Set (Books 0-3 in the series) ,Rs.62.00,253,,
4.5 out of 5 stars,StevenCampbell,Hard Luck Hank: Basketful of Crap ,Rs.361.00,49,,$12.99
4.5 out of 5 stars,RayGorham,77 Days in September (The Kyle Tait Series - Book 1) ,Rs.241.00,2337,,
4.2 out of 5 stars,PeterMeredith,The Apocalypse (The Undead World Book 1) ,Rs.187.00,145,,$14.99
4.5 out of 5 stars,DavidForsyth,Sedulity (Book One) Impact ,Rs.185.00,158,,
4.0 out of 5 stars,DavidWeber,Like a Mighty Army (Safehold) ,Rs.770.71,337,$27.59,$27.99
4.3 out of 5 stars,JayAllan,The Shadow Legions: Crimson Worlds VII ,Rs.313.00,94,,$14.95
4.5 out of 5 stars,NoahMann,Bugging Out (The Bugging Out Series Book 1) ,Rs.300.00,15,,$12.99
4.0 out of 5 stars,MarkWayneMcGinnis,Scrapyard Ship (Scrapyard Ship Series Book 1) ,Rs.250.00,584,,$10.79
4.2 out of 5 stars,MaureenMcGowan,Deviants (The Dust Chronicles) ,Rs.118.07,211,$3.93,$9.99
3.3 out of 5 stars,,The Last Ship: A Novel ,Rs.601.27,179,$17.00,$17.00
3.9 out of 5 stars,MatthewMather,The Atopia Chronicles (Atopia series) ,Rs.236.73,757,,$14.95
3.9 out of 5 stars,PaulAntonyJones,"Extinction Point (Extinction Point, Book 1) ",Rs.236.73,1309,,$14.95
4.0 out of 5 stars,PeterWatts,Blindsight ,Rs.179.96,191,,$16.99
4.3 out of 5 stars,B.V.Larson,Extinction (Star Force Series) ,Rs.328.00,200,,$11.99
4.3 out of 5 stars,CherylTaylor,Gone to Ground ,Rs.61.00,168,,$9.50
4.4 out of 5 stars,WilliamHertling,A.I. Apocalypse (Singularity Series) ,Rs.199.00,248,,$10.95
4.2 out of 5 stars,,The Time Traveler's Boyfriend ,Rs.313.00,36,,$12.99
4.8 out of 5 stars,ShelleyAdina,A Lady of Spirit: A steampunk adventure novel (Magnificent Devices) ,Rs.305.00,24,,$13.99
4.9 out of 5 stars,TerryMcDonald,WORN OUT BOOTS: Post Apocalyptic Fiction ,Rs.236.00,25,,
4.2 out of 5 stars,BenH.Winters,Countdown City: The Last Policeman Book II (Last Policeman Trilogy) ,Rs.210.05,193,$3.99,$14.95
4.7 out of 5 stars,EdwardW.Robertson,"Cut Off (Breakers, Book 5) ",Rs.99.00,132,,$13.99
4.2 out of 5 stars,RayGorham,Daunting Days of Winter (The Kyle Tait Series - Book 2) ,Rs.240.00,57,,
4.3 out of 5 stars,B.V.Larson,Swarm (Star Force Series Book 1) ,Rs.164.00,690,,$9.99
4.4 out of 5 stars,,The Longest Day: A Novella in the First Wave Series: Book Two ,Rs.59.00,34,,
4.7 out of 5 stars,BrianBeker,Notes from a Dog Rescue in Progress ,Rs.118.00,327,,$6.99
3.8 out of 5 stars,GeorgeR.R.Martin,"A Dance With Dragons (A Song of Ice and Fire, Book 5) ",Rs.426.00,6339,$9.46,$9.99
4.5 out of 5 stars,DonnaBall,Silent Night (Raine Stockton Dog Mysteries) ,Rs.310.00,118,,$16.95
4.3 out of 5 stars,MatthewInman,How to Tell If Your Cat Is Plotting to Kill You ,Rs.306.94,,$9.92,$14.99
4.8 out of 5 stars,,Dog Treat Cookbook: 27 Pooch-Approved Homemade Recipes ,Rs.175.00,12,,
4.8 out of 5 stars,DonnaBall,The Dead Season (Raine Stockton Dog Mysteries) ,Rs.310.00,81,,$16.95
4.4 out of 5 stars,FrankHerbert,Dune Messiah ,Rs.270.87,1881,$8.99,$8.99
4.0 out of 5 stars,IanDunbar,BEFORE and AFTER GETTING YOUR PUPPY ,Rs.622.39,106,$17.69,$19.95
4.8 out of 5 stars,DamienLewis,Sergeant Rex: The Unbreakable Bond Between a Marine and His Military Working Dog ,Rs.406.36,,$14.79,$15.00
4.6 out of 5 stars,DonnaBall,Rapid Fire (Raine Stockton Dog Mysteries) ,Rs.274.00,71,,$14.95
4.4 out of 5 stars,DonnaBall,Smoky Mountain Tracks (Raine Stockton Dog Mysteries) ,Rs.310.00,138,,$16.95
4.5 out of 5 stars,JenniferProbst,A Life Worth Living ,Rs.46.00,460,$0.93,
4.5 out of 5 stars,JohnGrogan,Marley & Me ,Rs.142.50,1727,$11.99,$13.95
4.7 out of 5 stars,DonnaBall,High In Trial (Raine Stockton Dog Mysteries) ,Rs.310.00,94,,$16.95
4.6 out of 5 stars,DenaHarris,Lessons In Stalking: Adjusting to Life With Cats ,Rs.110.73,37,,$9.95
4.5 out of 5 stars,JacksonGalaxy,"Cat Daddy: What the World's Most Incorrigible Cat Taught Me About Life, Love, and Coming Clean ",Rs.625.22,455,$15.84,$15.95
4.5 out of 5 stars,LilianJacksonBraun,The Cat Who Could Read Backwards (Cat Who...) ,Rs.283.10,160,$7.93,$7.99
4.9 out of 5 stars,,BACKYARD CHICKENS: The Secret Beginners Guide to Raising and Caring for Chickens in Your Own Backyard (How to Raise Chickens - The Backyard Chickens for Beginners Book) ,Rs.177.00,16,,$12.97
4.7 out of 5 stars,,The Dog Cancer Survival Guide: Full Spectrum Treatments to Optimize Your Dog's Life Quality and Longevity ,Rs.399.00,83,,$34.95
4.8 out of 5 stars,RickMurcer,Manny Blue and Black Max: A short story. ,Rs.60.00,59,,
4.8 out of 5 stars,HowardSchultheis,GOLDEN ECLIPSE: HEART DOG --- A True Story ,Rs.166.00,94,,$9.99
4.6 out of 5 stars,DawnSylvia-Stasiewicz,Training the Best Dog Ever: A 5-Week Program Using the Power of Positive Reinforcement ,Rs.563.36,11,$14.95,$14.95
4.3 out of 5 stars,LauraVanArendonkBaugh,"Fired Up, Frantic, and Freaked Out: Training Crazy Dogs from Over the Top to Under Control ",Rs.491.00,101,,$9.99
4.6 out of 5 stars,DavidGrimm,Citizen Canine: Our Evolving Relationship with Cats and Dogs ,Rs.564.85,18,$20.19,$26.99
4.4 out of 5 stars,,"Backyard Chickens Guide For Beginners: Easy Steps To Starting A Chicken Coop, Raising And Feeding A Brood Right In Your Backyard (Choosing Coops, Chicken ... Raising Chickens, Chicks, Chicken Coops) ",Rs.99.00,8,,
4.7 out of 5 stars,TedAndrews,Animal Speak: The Spiritual & Magical Powers of Creatures Great and Small ,Rs.560.09,327,$21.79,$21.95
4.6 out of 5 stars,PamJohnson-Bennett,Think Like a Cat: How to Raise a Well-Adjusted Cat--Not a Sour Puss ,Rs.577.36,80,$18.00,$18.00
4.4 out of 5 stars,ColetteMakray,Out of the Blue (Beckett Lodge Series of Dog Stories - Book 1) (Dog Short Stories) ,Rs.113.00,72,,
4.2 out of 5 stars,RussRyan,It's Just A Dog ,Rs.60.00,324,,$9.99
4.2 out of 5 stars,GregoryBerns,How Dogs Love Us: A Neuroscientist and His Adopted Dog Decode the Canine Brain ,Rs.358.04,,,$25.00
4.4 out of 5 stars,JanFennell,The Dog Listener: Learning the Language of your Best Friend ,Rs.399.64,195,$14.03,$16.99
4.6 out of 5 stars,PatriciaB.McConnell,The Puppy Primer ,Rs.573.14,78,$14.84,$14.95
4.6 out of 5 stars,KyraSundanceChalcy,"101 Dog Tricks: Step by Step Activities to Engage, Challenge, and Bond with Your Dog ",Rs.563.65,,$18.72,$18.99
4.4 out of 5 stars,,Perfect Puppy in 7 Days: How to Start Your Puppy Off Right ,Rs.399.00,126,,
4.6 out of 5 stars,MarkJ.Asher,All That Ails You: The Adventures of a Canine Caregiver ,Rs.299.00,344,,$12.99
4.9 out of 5 stars,,12 Terrible Dog Training Mistakes Owners Make That Ruin Their Dog's Behavior...And How To Avoid Them ,Rs.413.00,17,,
4.3 out of 5 stars,MaryHiker,Butterfly Boy: An Avery Barks Dog Mystery (Avery Barks Dog Mysteries Book 1) ,Rs.60.00,15,,
